item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
"SCE42NEO/.394""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,".394"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$51.62,(S),$0.0171,$0.0009,$0.0179,Rubberlite,7 - 10 days
"SCE42NEO/.500""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,".500"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$65.93,(S),$0.0218,$0.0011,$0.0229,Rubberlite,7 - 10 days
"SCE42NEO/.787""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,".787"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$102.77,(S),$0.0340,$0.0017,$0.0357,Rubberlite,7 - 10 days
"SCE42NEO/1.000""/42"" X 72""",Closed Cell Foam,Neoprene (Neoprene Based),SCE42NEO (7.0# - 11.0#) Black,"1.000"" thick",GMW15473 Class 1 Type 4; WSK-M2D419-A Type 3; ASTM D1056-07 2C2 Soft/Medium,"42"" X 72""",72,42,,$131.35,(S),$0.0434,$0.0022,$0.0456,Rubberlite,7 - 10 days
"SCE43NEO/.125""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,".125"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$28.20,(S),$0.0122,$0.0006,$0.0129,Rubberlite,7 - 10 days
"SCE43NEO/.250""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,".250"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$46.07,(S),$0.0200,$0.0010,$0.0210,Rubberlite,7 - 10 days
"SCE43NEO/.394""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,".394"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$73.03,(S),$0.0317,$0.0016,$0.0333,Rubberlite,7 - 10 days
"SCE43NEO/.500""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,".500"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$90.50,(S),$0.0393,$0.0020,$0.0412,Rubberlite,7 - 10 days
"SCE43NEO/.787""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,".787"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$144.21,(S),$0.0626,$0.0031,$0.0657,Rubberlite,7 - 10 days
"SCE43NEO/1.000""/36"" X 64""",Closed Cell Foam,Neoprene (Neoprene Based),SCE43NEO (12# - 20#) Black,"1.000"" thick","ASTM D1056-07 2C3; ASTM D1056 B2,F1,M; ASTM D6576-07 T2A,B,Medium","36"" x 64""",64,36,,$179.38,(S),$0.0779,$0.0039,$0.0817,Rubberlite,7 - 10 days
"C41ECH/.080""/44""X60""",Closed Cell Foam,ECH (Epichlorohydrin),C41ECH (15#) Black,".080"" thick","ASTM D1056 2B1, B2, F1, M","44"" x 60""",60,44,,$32.64,(S),$0.0124,$0.0006,$0.0130,Rubberlite,7 - 10 days
"C41ECH/.125""/44""X60""",Closed Cell Foam,ECH (Epichlorohydrin),C41ECH (15#) Black,".125"" thick","ASTM D1056 2B1, B2, F1, M","44"" x 60""",60,44,,$45.15,(S),$0.0171,$0.0009,$0.0180,Rubberlite,7 - 10 days
"C41ECH/.250""/44""X60""",Closed Cell Foam,ECH (Epichlorohydrin),C41ECH (15#) Black,".250"" thick","ASTM D1056 2B1, B2, F1, M","44"" x 60""",60,44,,$88.30,(S),$0.0334,$0.0017,$0.0351,Rubberlite,7 - 10 days
"C41ECH/.394""/44""X60""",Closed Cell Foam,ECH (Epichlorohydrin),C41ECH (15#) Black,".394"" thick","ASTM D1056 2B1, B2, F1, M","44"" x 60""",60,44,,$127.00,(S),$0.0481,$0.0024,$0.0505,Rubberlite,7 - 10 days
"C41ECH/.500""/44""X60""",Closed Cell Foam,ECH (Epichlorohydrin),C41ECH (15#) Black,".500"" thick","ASTM D1056 2B1, B2, F1, M","44"" x 60""",60,44,,$161.18,(S),$0.0611,$0.0031,$0.0641,Rubberlite,7 - 10 days
"C42ECH/.080""/42""X56""",Closed Cell Foam,ECH (Epichlorohydrin),C42ECH (15#) Black,".080"" thick","ASTM D1056 2B2, B2, F1, M","42"" x 56""",56,42,,$33.85,(S),$0.0144,$0.0007,$0.0151,Rubberlite,7 - 10 days
"C42ECH/.125""/42""X56""",Closed Cell Foam,ECH (Epichlorohydrin),C42ECH (15#) Black,".125"" thick","ASTM D1056 2B2, B2, F1, M","42"" x 56""",56,42,,$48.86,(S),$0.0208,$0.0010,$0.0218,Rubberlite,7 - 10 days
"C42ECH/.250""/42""X56""",Closed Cell Foam,ECH (Epichlorohydrin),C42ECH (15#) Black,".250"" thick","ASTM D1056 2B2, B2, F1, M","42"" x 56""",56,42,,$91.73,(S),$0.0390,$0.0020,$0.0410,Rubberlite,7 - 10 days
"C42ECH/.394""/42""X56""",Closed Cell Foam,ECH (Epichlorohydrin),C42ECH (15#) Black,".394"" thick","ASTM D1056 2B2, B2, F1, M","42"" x 56""",56,42,,$132.00,(S),$0.0561,$0.0028,$0.0589,Rubberlite,7 - 10 days
"C42ECH/.500""/42""X56""",Closed Cell Foam,ECH (Epichlorohydrin),C42ECH (15#) Black,".500"" thick","ASTM D1056 2B2, B2, F1, M","42"" x 56""",56,42,,$167.50,(S),$0.0712,$0.0036,$0.0748,Rubberlite,7 - 10 days
"F-4053/.080""/36""X46""",Closed Cell Foam,ECH (Epichlorohydrin),F4053 (15# - 21#) Black,".080"" thick","ASTM D1056 2B3, A1, B2, C1, F1, M; ASTM D6576 Type II A, B Medium","36"" x 46""",46,36,,$28.05,(S),$0.0169,$0.0008,$0.0178,Rubberlite,7 - 10 days
"F-4053/.125""/36""X46""",Closed Cell Foam,ECH (Epichlorohydrin),F4053 (15# - 21#) Black,".125"" thick","ASTM D1056 2B3, A1, B2, C1, F1, M; ASTM D6576 Type II A, B Medium","36"" x 46""",46,36,,$38.65,(S),$0.0233,$0.0012,$0.0245,Rubberlite,7 - 10 days
"F-4053/.250""/36""X46""",Closed Cell Foam,ECH (Epichlorohydrin),F4053 (15# - 21#) Black,".250"" thick","ASTM D1056 2B3, A1, B2, C1, F1, M; ASTM D6576 Type II A, B Medium","36"" x 46""",46,36,,$75.30,(S),$0.0455,$0.0023,$0.0477,Rubberlite,7 - 10 days
"F-4053/.394""/36""X46""",Closed Cell Foam,ECH (Epichlorohydrin),F4053 (15# - 21#) Black,".394"" thick","ASTM D1056 2B3, A1, B2, C1, F1, M; ASTM D6576 Type II A, B Medium","36"" x 46""",46,36,,$108.15,(S),$0.0653,$0.0033,$0.0686,Rubberlite,7 - 10 days
"F-4053/.500""/36""X46""",Closed Cell Foam,ECH (Epichlorohydrin),F4053 (15# - 21#) Black,".500"" thick","ASTM D1056 2B3, A1, B2, C1, F1, M; ASTM D6576 Type II A, B Medium","36"" x 46""",46,36,,$137.15,(S),$0.0828,$0.0041,$0.0870,Rubberlite,7 - 10 days
1416R Crushed EPDM-PQ,Closed Cell Foam,EFO - Ensolite,"EFO ""Crushed"" EPDM (4# - 8#) Black",".118"" thick",TSK6505 2A1/2A2; MSAY 528; MSAY 550; MSAY 430 TYPE 1; GMN11106 TYPE 1AA; GMW15473; CLASS 1 TYPE 1; GMW17408 CLASS I TYPE I; Ford WSB-M3G212A; WSB-M3G102-B2; MS260-13,"54"" x 600""",600,54,,$216.00,(R),$0.0067,$0.0003,$0.0070,Jacobs & Thompson,5-7 days
1416R Crushed EPDM-PQ,Closed Cell Foam,EFO - Ensolite,"EFO ""Crushed"" EPDM (4# - 8#) Black",".236"" thick",TSK6505 2A1/2A2; MSAY 528; MSAY 550; MSAY 430 TYPE 1; GMN11106 TYPE 1AA; GMW15473; CLASS 1 TYPE 1; GMW17408 CLASS I TYPE I; Ford WSB-M3G212A; WSB-M3G102-B2; MS260-13,"54"" x 600""",600,54,,$298.50,(R),$0.0092,$0.0005,$0.0097,Jacobs & Thompson,5-7 days
1416R Crushed EPDM-PQ,Closed Cell Foam,EFO - Ensolite,"EFO ""Crushed"" EPDM (4# - 8#) Black",".354"" thick",TSK6505 2A1/2A2; MSAY 528; MSAY 550; MSAY 430 TYPE 1; GMN11106 TYPE 1AA; GMW15473; CLASS 1 TYPE 1; GMW17408 CLASS I TYPE I; Ford WSB-M3G212A; WSB-M3G102-B2; MS260-13,"54"" x 600""",600,54,,$418.00,(R),$0.0129,$0.0006,$0.0135,Jacobs & Thompson,5-7 days
1416R Crushed EPDM-PQ,Closed Cell Foam,EFO - Ensolite,"EFO ""Crushed"" EPDM (4# - 8#) Black",".472"" thick",TSK6505 2A1/2A2; MSAY 528; MSAY 550; MSAY 430 TYPE 1; GMN11106 TYPE 1AA; GMW15473; CLASS 1 TYPE 1; GMW17408 CLASS I TYPE I; Ford WSB-M3G212A; WSB-M3G102-B2; MS260-13,"54"" x 600""",600,54,,$464.50,(R),$0.0143,$0.0007,$0.0151,Jacobs & Thompson,5-7 days
XP-20-X-0.125-WH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) White,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.43,(S),$0.0014,$0.0001,$0.0015,Worldwide Foam,7 days
XP-20-X-0.25-WH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) White,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$10.36,(S),$0.0022,$0.0001,$0.0024,Worldwide Foam,7 days
XP-20-X-0.394-WH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) White,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.08,(S),$0.0033,$0.0002,$0.0034,Worldwide Foam,7 days
XP-20-X-0.59-WH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) White,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$21.37,(S),$0.0046,$0.0002,$0.0049,Worldwide Foam,7 days
XP-20-X-0.787-WH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) White,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$27.65,(S),$0.0060,$0.0003,$0.0063,Worldwide Foam,7 days
XP-20-X-0.125-RD,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Red,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.99,(S),$0.0015,$0.0001,$0.0016,Worldwide Foam,7 days
XP-20-X-0.25-RD,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Red,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$11.48,(S),$0.0025,$0.0001,$0.0026,Worldwide Foam,7 days
XP-20-X-0.394-RD,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Red,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$18.93,(S),$0.0041,$0.0002,$0.0043,Worldwide Foam,7 days
XP-20-X-0.590-RD,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Red,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$25.50,(S),$0.0055,$0.0003,$0.0058,Worldwide Foam,7 days
XP-20-X-0.787-RD,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Red,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$40.83,(S),$0.0089,$0.0004,$0.0093,Worldwide Foam,7 days
XP-20-X-0.125-BU,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Blue,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.62,(S),$0.0014,$0.0001,$0.0015,Worldwide Foam,7 days
XP-20-X-0.25-BU,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Blue,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$10.73,(S),$0.0023,$0.0001,$0.0024,Worldwide Foam,7 days
XP-20-X-0.394-BU,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Blue,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.68,(S),$0.0034,$0.0002,$0.0036,Worldwide Foam,7 days
XP-20-X-0.590-BU,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Blue,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$24.46,(S),$0.0053,$0.0003,$0.0056,Worldwide Foam,7 days
XP-20-X-0.787-BU,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Blue,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$28.85,(S),$0.0063,$0.0003,$0.0066,Worldwide Foam,7 days
XP-20-X-0.125-YL,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Yellow,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.62,(S),$0.0014,$0.0001,$0.0015,Worldwide Foam,7 days
XP-20-X-0.25-YL,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Yellow,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$10.73,(S),$0.0023,$0.0001,$0.0024,Worldwide Foam,7 days
XP-20-X-0.394-YL,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Yellow,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.68,(S),$0.0034,$0.0002,$0.0036,Worldwide Foam,7 days
XP-20-X-0.590-YL,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Yellow,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$24.46,(S),$0.0053,$0.0003,$0.0056,Worldwide Foam,7 days
XP-20-X-0.787-YL,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Yellow,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$28.85,(S),$0.0063,$0.0003,$0.0066,Worldwide Foam,7 days
XP-20-X-0.125-CH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Charcoal,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.25,(S),$0.0014,$0.0001,$0.0014,Worldwide Foam,7 days
XP-20-X-0.250-CH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Charcoal,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$9.99,(S),$0.0022,$0.0001,$0.0023,Worldwide Foam,7 days
XP-20-X-0.394-CH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Charcoal,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.48,(S),$0.0031,$0.0002,$0.0033,Worldwide Foam,7 days
XP-20-X-0.590-CH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Charcoal,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$20.47,(S),$0.0044,$0.0002,$0.0047,Worldwide Foam,7 days
XP-20-X-0.787-CH,Closed Cell Foam,PE Cross-linked,XLPE (2.0#) Charcoal,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$26.46,(S),$0.0057,$0.0003,$0.0060,Worldwide Foam,7 days
XP-40-X-0.125-CH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Charcoal,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.29,(S),$0.0018,$0.0001,$0.0019,Worldwide Foam,7 days
XP-40-X-0.25-CH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Charcoal,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.10,(S),$0.0031,$0.0002,$0.0032,Worldwide Foam,7 days
XP-40-X-0.394-CH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Charcoal,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$21.06,(S),$0.0046,$0.0002,$0.0048,Worldwide Foam,7 days
XP-40-X-0.591-CH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Charcoal,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$30.33,(S),$0.0066,$0.0003,$0.0069,Worldwide Foam,7 days
XP-40-X-0.787-CH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Charcoal,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$39.61,(S),$0.0086,$0.0004,$0.0090,Worldwide Foam,7 days
XP-40-X-0.125-GY,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Grey,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.29,(S),$0.0018,$0.0001,$0.0019,Worldwide Foam,7 days
XP-40-X-0.25-GY,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Grey,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.10,(S),$0.0031,$0.0002,$0.0032,Worldwide Foam,7 days
XP-40-X-0.394-GY,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Grey,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$21.06,(S),$0.0046,$0.0002,$0.0048,Worldwide Foam,7 days
XP-40-X-0.590-GY,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Grey,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$30.33,(S),$0.0066,$0.0003,$0.0069,Worldwide Foam,7 days
XP-40-X-0.787-GY,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Grey,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$39.61,(S),$0.0086,$0.0004,$0.0090,Worldwide Foam,7 days
XP-40-X-0.125-WH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) White,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.59,(S),$0.0019,$0.0001,$0.0020,Worldwide Foam,7 days
XP-40-X-0.25-WH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) White,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.68,(S),$0.0032,$0.0002,$0.0033,Worldwide Foam,7 days
XP-40-X-0.394-WH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) White,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$21.98,(S),$0.0048,$0.0002,$0.0050,Worldwide Foam,7 days
XP-40-X-0.59-WH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) White,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$31.73,(S),$0.0069,$0.0003,$0.0072,Worldwide Foam,7 days
XP-40-X-0.787-WH,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) White,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$41.46,(S),$0.0090,$0.0004,$0.0094,Worldwide Foam,7 days
XP-40-X-0.125-RD,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Red,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$9.46,(S),$0.0021,$0.0001,$0.0022,Worldwide Foam,7 days
XP-40-X-0.25-RD,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Red,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$16.42,(S),$0.0036,$0.0002,$0.0037,Worldwide Foam,7 days
XP-40-X-0.394-RD,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Red,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$39.61,(S),$0.0086,$0.0004,$0.0090,Worldwide Foam,7 days
XP-40-X-0.590-RD,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Red,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$39.61,(S),$0.0086,$0.0004,$0.0090,Worldwide Foam,7 days
XP-40-X-0.787-RD,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Red,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$47.03,(S),$0.0102,$0.0005,$0.0107,Worldwide Foam,7 days
XP-40-X-0.125-BU,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Blue,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.88,(S),$0.0019,$0.0001,$0.0020,Worldwide Foam,7 days
XP-40-X-0.25-BU,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Blue,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.25,(S),$0.0033,$0.0002,$0.0035,Worldwide Foam,7 days
XP-40-X-0.394-BU,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Blue,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$22.91,(S),$0.0050,$0.0002,$0.0052,Worldwide Foam,7 days
XP-40-X-0.590-BU,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Blue,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$36.52,(S),$0.0079,$0.0004,$0.0083,Worldwide Foam,7 days
XP-40-X-0.787-BU,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Blue,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$43.32,(S),$0.0094,$0.0005,$0.0099,Worldwide Foam,7 days
XP-40-X-0.125-YL,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Yellow,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.88,(S),$0.0019,$0.0001,$0.0020,Worldwide Foam,7 days
XP-40-X-0.25-YL,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Yellow,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.25,(S),$0.0033,$0.0002,$0.0035,Worldwide Foam,7 days
XP-40-X-0.394-YL,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Yellow,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$22.91,(S),$0.0050,$0.0002,$0.0052,Worldwide Foam,7 days
XP-40-X-0.590-YL,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Yellow,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$36.52,(S),$0.0079,$0.0004,$0.0083,Worldwide Foam,7 days
XP-40-X-0.787-YL,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Yellow,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$43.32,(S),$0.0094,$0.0005,$0.0099,Worldwide Foam,7 days
XP-40-X-0.125-BK,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Black,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.59,(S),$0.0019,$0.0001,$0.0020,Worldwide Foam,7 days
XP-40-X-0.25-BK,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Black,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.68,(S),$0.0032,$0.0002,$0.0033,Worldwide Foam,7 days
XP-40-X-0.394-BK,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Black,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$32.18,(S),$0.0070,$0.0003,$0.0073,Worldwide Foam,7 days
XP-40-X-0.590-BK,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Black,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$32.18,(S),$0.0070,$0.0003,$0.0073,Worldwide Foam,7 days
XP-40-X-0.787-BK,Closed Cell Foam,PE Cross-linked,XLPE (4.0#) Black,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$41.46,(S),$0.0090,$0.0004,$0.0094,Worldwide Foam,7 days
EV-20D-X-0.125-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (2.0#) Charcoal,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$6.80,(S),$0.0015,$0.0001,$0.0016,Worldwide Foam,7 days
EV-20D-X-0.25-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (2.0#) Charcoal,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$11.11,(S),$0.0024,$0.0001,$0.0025,Worldwide Foam,7 days
EV-20D-X-0.39-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (2.0#) Charcoal,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$16.28,(S),$0.0035,$0.0002,$0.0037,Worldwide Foam,7 days
EV-20D-X-0.590-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (2.0#) Charcoal,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$25.46,(S),$0.0055,$0.0003,$0.0058,Worldwide Foam,7 days
EV-20D-X-0.787-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (2.0#) Charcoal,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$30.05,(S),$0.0065,$0.0003,$0.0068,Worldwide Foam,7 days
EV-30D-X-0.125-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (3.0#) Charcoal,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.35,(S),$0.0018,$0.0001,$0.0019,Worldwide Foam,7 days
EV-30D-X-0.25-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (3.0#) Charcoal,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$14.20,(S),$0.0031,$0.0002,$0.0032,Worldwide Foam,7 days
EV-30D-X-0.39-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (3.0#) Charcoal,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$21.21,(S),$0.0046,$0.0002,$0.0048,Worldwide Foam,7 days
EV-30D-X-0.590-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (3.0#) Charcoal,".590"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$31.97,(S),$0.0069,$0.0003,$0.0073,Worldwide Foam,7 days
EV-30D-X-0.787-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (3.0#) Charcoal,".787"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$39.33,(S),$0.0085,$0.0004,$0.0090,Worldwide Foam,7 days
EV-40D-X-0.125-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (4.0#) Charcoal,".125"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$8.97,(S),$0.0019,$0.0001,$0.0020,Worldwide Foam,7 days
EV-40D-X-0.25-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (4.0#) Charcoal,".250"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$15.43,(S),$0.0033,$0.0002,$0.0035,Worldwide Foam,7 days
EV-40D-X-0.394-CH,Closed Cell Foam,Ethylene Vinyl Acetate,EVA (4.0#) Charcoal,".394"" thick","ASTM D3575, FMVSS302","48"" x 96""",96,48,,$23.18,(S),$0.0050,$0.0003,$0.0053,Worldwide Foam,7 days
